№ П/П;node;pkt;trans;tr_s;sn
И-145;1;;;;
;1;;;;
1;ТП-1 Т1;20;ТМ-6;630;
2;ТП-1 Т2;;ТМ-6;63;
3;ТП-2 Т1;20;kl-6;25;0,3
4;ТП-2 Т2;;ТМ-6;100;
5;ТП-3 Т1;63;ТМГ-6;63;33
6;ТП-3 Т2;;ТМ-6;160;
7;ТП-3 Т3;20;ТМ-6;250;
8;ТП-4 Т1;50;ТМ-6;250;38,3
9;ТП-4 Т2;40;ТМ-6;100;66,8
10;И-145-859П;;ТМ-6;160;
11;И-145-1145П;;ТМ-6;25;
12;И-145-96;20;ТМ-6;160;80,4
13;И-145-1129П;;ТМ-6;25;
14;И-145-97;16;ТМ-6;180;0
15;И-145-826;10;ТМ-6;180;25,1
16;И-145-23;10;ТМ-6;160;10,8
17;И-145-98;20;ТМ-6;180;105
18;И-145-836П;;ТМ-6;400;
19;И-145-1121П;;ТМ-6;63;
20;И-145-1163;20;ТМГ-6;25;1,2
21;И-145-1170;50;ТМГ-6;630;
22;И-145-1164П;;ТМ-6;25;
23;И-145-1111П;;ТМ-6;63;
24;И-145-99;20;ТМ-6;100;0,5
25;И-145-856П;;ТМ-6;63;
26;И-145-898П;;ТМ-6;63;
27;И-145-1101П;;ТМ-6;63;
28;И-145-894П;;ТМ-6;63;
29;И-145-900П;;ТМ-6;63;
30;И-145-852;15;ТМ-6;160;13,3
31;И-145-847;;ТМ-6;100;
32;И-145-876П;;ТМ-6;63;
33;И-145-101;10;ТМ-6;250;63
34;И-145-200П;;ТМ-6;100;
35;И-145-100;50;ТМГ-6;250;13
36;И-145-1120П;;ТМ-6;100;
37;И-145-102;10;ТМ-6;630;14,6
38;И-145-817П;;ТМ-6;400;
39;И-145-808П;;ТМ-6;100;
40;И-145-1143;20;ТМ-6;100;0
41;И-145-08;15;ТМ-6;100;10,5
42;И-145-866П;;ТМ-6;100;
43;И-145-124;10;ТМ-6;250;0
44;И-145-830;30;ТМ-6;250;8,3
45;И-145-810П;;ТМ-6;63;
46;И-145-804П;;ТМ-6;63;
47;И-145-05;20;ТМ-6;100;50
48;И-145-811П;;ТМ-6;100;
49;И-145-181П;;ТМ-6;63;
50;И-145-1146П;;ТМ-6;100;
51;И-145-1127П;;ТМ-6;30;
52;И-145-1134П;16;ТМГ-6;250;
53;И-145-104П;;ТМ-6;250;
54;И-145-847П;;ТМ-6;250;
55;И-145-1165П;;ТМ-6;100;
56;И-145-132;50;ТМ-6;250;9,9
57;И-145-148;20;ТМ-6;160;0
58;И-145-868П;;ТМ-6;250;
59;И-145-105;10;ТМ-6;400;1
60;И-145-890П;;ТМ-6;160;
61;И-145-854;16;ТМ-6;160;1,6
62;И-145-869П;;ТМ-6;63;
63;И-145-1180;20;ТМГ-6;40;21
64;И-145-1181П;;ТМ-6;40;
ИЛ-1;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ИЛ-1-931;20;ТМ-10;630;120
2;ИЛ-1-365;;ТМ-10;160;74
3;ИЛ-1-933;20;ТМ-10;250;9,8
4;ИЛ-1-936;7,5;ТМ-10;63;18,1
5;ИЛ-1-937;15;ТМ-10;400;10,2
6;ИЛ-1-930;20;ТМ-10;250;30,9
7;ИЛ-1-917П;;ТМ-10;25;
8;ИЛ-1-938;20;ТМ-10;160;3,4
9;ИЛ-2-345;30;ТМ-10;180;70,8
10;ИЛ-1-364;10;ТМ-10;100;20,7
11;ИЛ-1-399;20;ТМ-10;100;115,2
12;ИЛ-1-400;15;ТМ-10;160;63
13;ИЛ-1-921П;;ТМ-10;25;
14;ИЛ-1-914П;;ТМ-10;100;
15;ИЛ-1-940П;;ТМ-10;25;
16;ИЛ-1-302;20;ТМ-10;250;139,7
